"ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price",,,
"1	""SOT-223_L6.5-W3.5-P2.30-LS7.0-BR""	""AMS1117""	""SOT-223_L6.5-W3.5-P2.30-LS7.0-BR""	""1""	""""	""""	""""	""""	""""",,,
"2	""BUTTON_MICRO_SWITCH_6X6_4PIN""	""B1",B2,B3,"B4""	""BUTTON_MICRO_SWITCH_6X6_4PIN""	""4""	""""	""""	""""	""""	"""""
"3	""_""	""C1""	""""	""1""	""""	""""	""""	""""	""""",,,
"4	""JOYSTICK""	""J1","J2""	""JOYSTICK""	""2""	""""	""""	""""	""""	""""",,
"5	""MPU6050""	""MPU6050""	""MPU6050""	""1""	""""	""""	""""	""""	""""",,,
"6	""_""	""NRF1""	""NRF24L01+ PA LNA""	""1""	""""	""""	""""	""""	""""",,,
"7	""VERTICAL POTENTIOMETER""	""POT1","POT2""	""VERTICAL POTENTIOMETER""	""2""	""""	""""	""""	""""	""""",,
"8	""TOGGLE SWITCH SPDT PANEL MOUNT""	""T1","T2""	""TOGGLE SWITCH SPDT PANEL MOUNT""	""2""	""""	""""	""""	""""	""""",,
,,,
,,,
,,,
,,,
NRF24L01 + PA + LNA ,2,,
Potentiometer,2,,
MPU6050,1,,
Toggle Switch …………………………….….. ,2,,
,,,
Joystick without breakout board ………… Ebay,2,,
Arduino Pro Mini……………………………..,2,,
,,,
HT7333 3.3v voltage regulator ,1,,
switch,1,,
,,,
capacitor,2(0.1uf),,
buttons,4,,
cell case,1,,
connecting pins(headers),,,
capacitor,2(100uf),,
headers male,15,,
headers female,15,,
